City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kralendijk,BQ,12.15,-68.2667,80.58,89,75,17.27,broken clouds
80,Lorengau,PG,-2.0226,147.2712,84.25,67,89,4.72,moderate rain
81,Hermanus,ZA,-34.4187,19.2345,49.5,75,1,5.53,clear sky
82,Alofi,NU,-19.0595,-169.9187,76.64,67,1,17.69,clear sky
83,Morondava,MG,-20.2833,44.2833,65.98,73,0,4.7,clear sky
84,Harper,LR,4.375,-7.7169,73.27,74,94,7.83,overcast clouds
85,Kodinsk,RU,58.6881,99.1844,72.82,44,37,7.18,scattered clouds
86,Tulu Bolo,ET,8.6667,38.2167,56.01,96,100,5.1,light rain
87,Victoria,HK,22.2855,114.1577,93.25,99,10,9.24,clear sky
88,Shimoda,JP,34.6667,138.95,83.03,76,74,6.78,broken clouds
89,Cherskiy,RU,68.75,161.3,47.57,40,14,19.39,few clouds
90,Hualmay,PE,-11.0964,-77.6139,61.23,85,48,9.64,scattered clouds
91,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,3.44,broken clouds
92,Mamallapuram,IN,12.6264,80.1722,86.05,62,89,9.19,overcast clouds
93,Port Hardy,CA,50.6996,-127.4199,56.07,85,82,12.91,broken clouds
94,Jamestown,US,42.097,-79.2353,76.59,88,40,10.36,scattered clouds
95,Avarua,CK,-21.2078,-159.775,71.65,73,75,17.27,broken clouds
96,Palimbang,PH,6.2106,124.1894,85.69,70,26,4.41,scattered clouds
97,Mehriz,IR,31.5917,54.4318,84.63,13,0,5.64,clear sky
98,Roebourne,AU,-20.7833,117.1333,79.14,28,5,3.04,clear sky
99,Hithadhoo,MV,-0.6,73.0833,80.78,71,100,5.28,overcast clouds
100,Businga,CD,3.3333,20.8833,68.9,99,92,0.96,light rain
101,Sesheke,ZM,-17.4759,24.2968,59.22,76,75,1.74,broken clouds
102,Korla,CN,41.7597,86.1469,76.62,30,0,5.64,clear sky
103,Kruisfontein,ZA,-34.0033,24.7314,47.88,92,4,7.34,clear sky
104,Havre,FR,49.5833,0.3333,64.17,88,100,11.5,overcast clouds
105,Fukue,JP,32.6881,128.8419,82.31,88,98,19.66,overcast clouds
